"Timestamp","What is your age?","Gender ?","What was your WASSCE grade ?","What level are you ?","What is your current CGPA ?","How many siblings do you have ?","Do you have access to a laptop or internet ?","Do you join a study group ?","How many hours do you do independent studies ?"
"2022/10/05 12:21:51 pm GMT","23 - 27 years","Male","16 - 20","L 400","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/05 12:47:16 pm GMT","23 - 27 years","Male","6 - 9","L 400","1.9 - 1.5","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/05 12:48:13 pm GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","Exactly 3","Yes","Yes","Less than 2 hours"
"2022/10/05 12:48:40 pm GMT","23 - 27 years","Female","10 - 15","L 400","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/05 12:49:12 pm GMT","23 - 27 years","Female","10 - 15","L 400","2.9 - 2.5","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/05 12:50:22 pm GMT","23 - 27 years","Male","16 - 20","L 400","1.9 - 1.5","More than 3","No","Yes","More than 2 hours"
"2022/10/05 12:55:31 pm GMT","18 - 22 years","Male","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/05 1:14:52 pm GMT","18 - 22 years","Female","10 - 15","L 400","3.5 - 3.0","More than 3","No","Yes","More than 2 hours"
"2022/10/05 1:20:26 pm GMT","18 - 22 years","Male","10 - 15","L 400","3.5 - 3.0","Exactly 3","Yes","Yes","Less than 2 hours"
"2022/10/05 1:25:16 pm GMT","18 - 22 years","Female","10 - 15","L 400","2.9 - 2.5","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/05 1:40:35 pm GMT","18 - 22 years","Male","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","No","Less than 2 hours"
"2022/10/05 2:41:48 pm GMT","23 - 27 years","Male","16 - 20","L 400","3.5 - 3.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/05 2:53:16 pm GMT","23 - 27 years","Male","21 - 25","L 400","3.5 - 3.0","More than 3","Yes","No","Less than 2 hours"
"2022/10/05 5:38:28 pm GMT","23 - 27 years","Male","16 - 20","L 400","4.0 - 3.6","More than 3","Yes","Yes","Less than 2 hours"
"2022/10/05 7:15:39 pm GMT","23 - 27 years","Male","16 - 20","L 400","2.4 - 2.0","More than 3","Yes","No","Exactly 2 hours"
"2022/10/06 4:20:49 pm GMT","23 - 27 years","Male","10 - 15","L 400","2.9 - 2.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/06 6:50:33 pm GMT","18 - 22 years","Male","10 - 15","L 400","2.9 - 2.5","Less than 3","Yes","No","More than 2 hours"
"2022/10/07 9:09:54 am GMT","23 - 27 years","Male","10 - 15","L 400","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/07 9:31:11 am GMT","23 - 27 years","Male","16 - 20","L 400","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/07 9:35:34 am GMT","18 - 22 years","Male","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
