Age,Gender,wassce grade,level,current CGPA,access to a laptop or internet,study group,time spent on independent studies
0,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
1,23 - 27 years,Male,6 - 9,L 400,1.9 - 1.5,Yes,Yes,More than 2 hours
2,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,Less than 2 hours
3,23 - 27 years,Female,10 - 15,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
4,23 - 27 years,Female,10 - 15,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
5,23 - 27 years,Male,16 - 20,L 400,1.9 - 1.5,No,Yes,More than 2 hours
6,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
7,18 - 22 years,Female,10 - 15,L 400,3.5 - 3.0,No,Yes,More than 2 hours
8,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,Less than 2 hours
9,18 - 22 years,Female,10 - 15,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
10,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,No,Less than 2 hours
11,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
12,23 - 27 years,Male,21 - 25,L 400,3.5 - 3.0,Yes,No,Less than 2 hours
13,23 - 27 years,Male,16 - 20,L 400,4.0 - 3.6,Yes,Yes,Less than 2 hours
14,23 - 27 years,Male,16 - 20,L 400,2.4 - 2.0,Yes,No,Exactly 2 hours
15,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,No,Less than 2 hours
16,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,No,More than 2 hours
17,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
18,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
19,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
20,23 - 27 years,Female,16 - 20,L 400,4.0 - 3.6,Yes,Yes,Less than 2 hours
21,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Maybe,Yes,Exactly 2 hours
22,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,Yes,Yes,Less than 2 hours
23,18 - 22 years,Male,16 - 20,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
24,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Yes,No,More than 2 hours
25,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,No,More than 2 hours
26,More than 32 years,Male,16 - 20,L 400,2.4 - 2.0,Yes,No,More than 2 hours
27,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Yes,No,More than 2 hours
28,23 - 27 years,Male,6 - 9,L 400,2.9 - 2.5,Yes,No,Less than 2 hours
29,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
30,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
31,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,Yes,Exactly 2 hours
32,23 - 27 years,Female,16 - 20,L 300,2.4 - 2.0,Yes,Yes,Less than 2 hours
33,28 - 32 years,Female,16 - 20,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
