Age,Gender,wassce grade,level,current CGPA,number of siblings ,access to a laptop or internet,study group,time spent on independent studies,grades
0,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
1,23 - 27 years,Male,6 - 9,L 400,1.9 - 1.5,Less than 3,Yes,Yes,More than 2 hours,Pass
2,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Exactly 3,Yes,Yes,Less than 2 hours,Second class upper
3,23 - 27 years,Female,10 - 15,L 400,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
4,23 - 27 years,Female,10 - 15,L 400,2.9 - 2.5,Less than 3,Yes,Yes,More than 2 hours,Second class lower
5,23 - 27 years,Male,16 - 20,L 400,1.9 - 1.5,More than 3,No,Yes,More than 2 hours,Pass
6,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
7,18 - 22 years,Female,10 - 15,L 400,3.5 - 3.0,More than 3,No,Yes,More than 2 hours,Second class upper
8,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,Exactly 3,Yes,Yes,Less than 2 hours,Second class upper
9,18 - 22 years,Female,10 - 15,L 400,2.9 - 2.5,Less than 3,Yes,Yes,More than 2 hours,Second class lower
10,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,No,Less than 2 hours,Second class upper
11,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Exactly 3,Yes,Yes,More than 2 hours,Second class upper
12,23 - 27 years,Male,21 - 25,L 400,3.5 - 3.0,More than 3,Yes,No,Less than 2 hours,Second class upper
13,23 - 27 years,Male,16 - 20,L 400,4.0 - 3.6,More than 3,Yes,Yes,Less than 2 hours,First class
14,23 - 27 years,Male,16 - 20,L 400,2.4 - 2.0,More than 3,Yes,No,Exactly 2 hours,Third class
15,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
16,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
17,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
18,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
19,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
20,23 - 27 years,Female,16 - 20,L 400,4.0 - 3.6,More than 3,Yes,Yes,Less than 2 hours,First class
21,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,Maybe,Yes,Exactly 2 hours,Second class lower
22,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,More than 3,Yes,Yes,Less than 2 hours,Second class lower
23,18 - 22 years,Male,16 - 20,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
24,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Exactly 3,Yes,No,More than 2 hours,Second class upper
25,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
26,More than 32 years,Male,16 - 20,L 400,2.4 - 2.0,More than 3,Yes,No,More than 2 hours,Third class
27,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Exactly 3,Yes,No,More than 2 hours,Second class upper
28,23 - 27 years,Male,6 - 9,L 400,2.9 - 2.5,More than 3,Yes,No,Less than 2 hours,Second class lower
29,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
30,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
31,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Less than 3,Yes,Yes,Exactly 2 hours,Second class lower
32,23 - 27 years,Female,16 - 20,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Less than 2 hours,Third class
33,28 - 32 years,Female,16 - 20,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
34,18 - 22 years,Female,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,No,More than 2 hours,Second class lower
35,18 - 22 years,Male,16 - 20,L 400,3.5 - 3.0,Less than 3,Yes,No,More than 2 hours,Second class upper
36,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
37,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,Yes,More than 2 hours,Second class upper
38,18 - 22 years,Female,6 - 9,L 300,4.0 - 3.6,Exactly 3,Yes,No,Less than 2 hours,First class
39,18 - 22 years,Male,6 - 9,L 300,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
40,23 - 27 years,Female,10 - 15,L 400,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
41,23 - 27 years,Female,10 - 15,L 400,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
42,23 - 27 years,Female,16 - 20,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
43,23 - 27 years,Female,16 - 20,L 300,3.5 - 3.0,More than 3,No,Yes,Exactly 2 hours,Second class upper
44,23 - 27 years,Male,21 - 25,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
45,28 - 32 years,Female,10 - 15,L 400,3.5 - 3.0,Less than 3,Yes,Yes,More than 2 hours,Second class upper
46,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,Exactly 3,Yes,No,Less than 2 hours,Second class upper
47,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,Exactly 3,Yes,Yes,Exactly 2 hours,Second class lower
48,23 - 27 years,Female,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
49,18 - 22 years,Male,6 - 9,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
50,18 - 22 years,Female,16 - 20,L 400,2.4 - 2.0,Less than 3,Yes,No,Exactly 2 hours,Third class
51,23 - 27 years,Female,16 - 20,L 400,2.9 - 2.5,More than 3,No,Yes,More than 2 hours,Second class lower
52,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Less than 3,Yes,Yes,More than 2 hours,Second class upper
53,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,More than 3,No,No,Exactly 2 hours,Third class
54,18 - 22 years,Male,21 - 25,L 400,2.4 - 2.0,More than 3,Yes,Yes,Less than 2 hours,Third class
55,14 - 17 years,Male,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,Yes,More than 2 hours,Second class upper
56,23 - 27 years,Male,10 - 15,L 400,1.9 - 1.5,Less than 3,Yes,Yes,More than 2 hours,Pass
57,23 - 27 years,Male,10 - 15,L 400,2.4 - 2.0,More than 3,Yes,No,Exactly 2 hours,Third class
58,18 - 22 years,Male,6 - 9,L 300,4.0 - 3.6,Exactly 3,Yes,Yes,More than 2 hours,First class
59,14 - 17 years,Female,10 - 15,L 300,2.9 - 2.5,Less than 3,No,Yes,More than 2 hours,Second class lower
60,23 - 27 years,Female,26 - 30,L 400,4.0 - 3.6,More than 3,Yes,Yes,More than 2 hours,First class
61,18 - 22 years,Male,6 - 9,L 400,4.0 - 3.6,Exactly 3,Yes,No,More than 2 hours,First class
62,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,Yes,Less than 2 hours,Second class upper
63,23 - 27 years,Female,10 - 15,L 400,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
64,23 - 27 years,Male,6 - 9,L 400,2.9 - 2.5,More than 3,Yes,No,Less than 2 hours,Second class lower
